"","ID","Algae_Species","Number of co's","Producers","Research","Genus","Color","Common_name"
"36",36,"Saccharina sp.","6","Seaveg
Algas La Patrona
The Cornish Seaweed Company Ltd
Chudao Aquatic Food Co.","","Saccharina","Brown",""
"37",37,"Ulva intestinalis","6","Quality Sea Veg
Wild Irish Seaweeds
SeaExpert Azores
Qingdao Seawin Biotech Group","BioSea","Ulva","Green","Gutweed"
"38",38,"Alaria sp.","5","Algues Armorique
The Seaweed Company
Algo'manne
Wild Irish Seaweeds
Canadian Kelp Resources","","Alaria","Brown",""
"39",39,"Asparagopsis armata","5","Bio Molenez
Wealsea (Bezhin Breizh)
Algues et Mer
Immersion Group (Seascape Restorations)","","Asparagopsis","Red","Harpoon weed"
"40",40,"Asparagopsis taxiformis","5","Unidade Bioquímica Lda (UBQ II)
SeaExpert Azores
The Aquaculture Group
Eyre Shellfish","","Asparagopsis","Red","red sea plume, limu kohu"
"41",41,"Ecklonia maxima","5","Afrikelp
Imbambosi
Taurus Cape Kelp
Seiner Group
Raw Kelp","","Ecklonia","Brown",""
"42",42,"Gelidium sesquipedale","5","Algamar Espana
SELT Marine Group
Setexam
Sobigel
Morocco Seaweed","ALGWAS-BIOR","Gelidium","Red",""
"43",43,"Caulerpa lentillifera","4","Green Aqua Farm (failed)
Qingdao Sea Grape Organic Green Algae Research and Development Co., Ltd.","","Caulerpa","Green","Sea grapes"
"44",44,"Chondracanthus chamissoi","4","Seatec Seaweed Technology EIRL
Gelymar
Dalca Innova
Algas Chile","","Chondracanthus","Red",""
"45",45,"Chondrus sp.","4","Danish Seaweed / Dansk Tang
Bio Molenez
Seaveg
The Cornish Seaweed Company Ltd","","Chondrus","Red",""
"46",46,"Furcellaria lumbricalis","4","Danish Seaweed / Dansk Tang
EstAgar
Vetik
Sea‐Pür","","Furcellaria","Red",""
"47",47,"Lessonia trabeculata","4","Alimex
Pacific Seaweed Chile SpA
Gelymar
PuntaMar","","Lessonia","Brown",""
"48",48,"Durvillaea potatorum","3","Taskelp
Kelpomix
Kelp Industries","","Durvillaea","Brown","Southern bull kelp"
"49",49,"Laminaria ochroleuca","3","Porto-Muiños
Biocean
Conservas Costera","","Laminaria","Brown",""
"50",50,"Lessonia nigrescens","3","Alimex
Pacific Seaweed Chile SpA
PuntaMar","","Lessonia","Brown",""
"51",51,"Osmundea pinnatifida","3","Donegal Bay Seaveg
Shore Seaweed
SeaExpert Azores","","Osmundea","Red",""
"52",52,"Palmaria mollis","3","Cascadia Seaweed
Oregon Dulse
Oregon Sea Farms","","Palmaria","Red","Dulse"
"53",53,"Ulva rigida","3","Eranova
ALGAplus Lda
SeaExpert Azores","","Ulva","Green",""
"54",54,"Vertebrata lanosa","3","Ting med Tang
Lofoten Seaweed
Islensk Hollusta","","Vertebrata","Red",""
"55",55,"Codium tomentosum","2","ALGAplus Lda
Algenladen GmbH","","Codium","Green","velvet horn, spongeweed"
"56",56,"Corallina sp.","2","Bio Molenez
Biocean","","Corallina","Red",""
"57",57,"Delesseria sanguinea","2","Danish Seaweed / Dansk Tang
Biocean","","Delesseria","Red",""
"58",58,"Eucheuma isiforme","2","Placencia Fishermen Cooperative
Ikooma","","Eucheuma","Red",""
"59",59,"Gelidium sp.","2","Afrikelp
Taurus Cape Kelp","","Gelidium","Red",""
"60",60,"Gigartina radula","2","Alimex
Ocean Mist Seaweed Company","","Gigartina","Red",""
"61",61,"Gracilaria gracilis","2","ALGAplus Lda
Wealsea (Bezhin Breizh)","","Gracilaria","Red",""
"62",62,"Halopteris scoparia","2","Unidade Bioquímica Lda (UBQ II)
SeaExpert Azores","","Halopteris","Brown","Sea Flax Weed"
"63",63,"Lithothamnium sp.","2","Oceana Minerals
Primasea","","Lithothamnium","Red",""
"64",64,"Pelvetia canaliculata","2","Biocean
Bio Molenez","","Pelvetia","Brown","channelled wrack"
"65",65,"Solieria sp.","2","OLMIX
Thomsea","","Solieria","Red",""
"66",66,"Chondrus canaliculatus","1","Gelymar","","Chondrus","Red",""
"67",67,"Chorda filum","1","Danish Seaweed / Dansk Tang","","Chorda","Brown","Dead Men's Ropes, Mermaid's Tresses, Cat gut, Sea lace, Mermaid's fishing line, Sea Laces, Mermaid's Line, Bootlace Weed"
"68",68,"Cladosiphon sp.","1","South Pacific Mozuku","","Cladosiphon","Brown",""
"69",69,"Cystoseira abies-marina","1","SeaExpert Azores","","Cystoseira","Brown",""
"70",70,"Cystoseira humilis","1","SeaExpert Azores","","Cystoseira","Brown",""
"71",71,"Cystoseira sp.","1","Biocean","","Cystoseira","Brown",""
"72",72,"Devaleraea Mollis","1","Oregon Dulse","","Devaleraea","Red",""
"73",73,"Dilsea carnosa","1","Biocean","","Dilsea","Red","Poor man's weather glass, Sea belt"
"74",74,"Durvillaea incurvata","1","Gelymar","","Durvillaea","Brown",""
"75",75,"Ecklonia bicyclis","1","Teatis","","Ecklonia","Brown",""
